Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,223.600,1.307,0.709,0.787,1.513,1.607,1.715,1.870,2.433,10.564,0.765
5,227.400,1.294,0.702,0.742,1.496,1.567,1.628,1.675,1.984,45.633,0.773
10,225.000,1.248,0.687,0.746,1.502,1.582,1.641,1.680,1.810,2.213,0.801
15,230.800,1.247,0.703,0.749,1.503,1.592,1.650,1.677,1.963,4.206,0.802
20,232.800,1.264,0.664,0.773,1.517,1.610,1.658,1.693,2.020,3.711,0.791
25,218.800,1.251,0.679,0.747,1.511,1.592,1.638,1.674,1.864,2.808,0.800
30,235.000,1.086,0.659,0.745,0.782,1.573,1.643,1.691,1.777,2.410,0.921
35,268.600,0.792,0.714,0.750,0.761,0.793,0.849,0.890,1.356,4.147,1.262
40,279.200,0.831,0.704,0.761,0.792,0.854,0.894,0.922,1.392,10.092,1.203
45,288.000,0.782,0.701,0.753,0.764,0.789,0.828,0.857,1.028,2.106,1.278
50,288.400,0.784,0.700,0.750,0.761,0.787,0.835,0.867,1.319,3.160,1.276
55,304.400,0.768,0.691,0.743,0.755,0.770,0.798,0.824,1.332,1.871,1.303
