Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,22.200,0.810,0.546,0.678,0.803,0.886,0.987,1.145,1.414,1.948,1.235
5,21.000,0.750,0.508,0.686,0.755,0.821,0.871,0.920,0.975,0.991,1.333
10,22.200,0.765,0.498,0.699,0.776,0.825,0.890,0.921,0.948,0.956,1.308
15,19.800,0.770,0.503,0.711,0.778,0.832,0.914,0.940,0.985,0.985,1.300
20,18.800,0.769,0.494,0.683,0.762,0.878,0.916,0.929,0.995,0.995,1.300
25,18.800,0.790,0.533,0.713,0.802,0.879,0.933,0.963,1.021,1.021,1.266
30,18.800,0.784,0.486,0.668,0.769,0.875,0.991,1.033,1.334,1.334,1.275
35,25.600,0.728,0.512,0.627,0.720,0.819,0.872,0.897,1.009,1.036,1.373
40,25.200,0.799,0.544,0.686,0.781,0.908,0.983,1.058,1.183,1.475,1.251
45,25.000,0.820,0.584,0.745,0.817,0.909,0.959,0.991,1.082,1.107,1.220
50,28.200,0.816,0.550,0.733,0.832,0.900,0.959,0.983,1.027,1.113,1.226
55,31.000,0.776,0.541,0.700,0.780,0.846,0.904,0.939,1.009,1.017,1.288
