Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1706106111.936607,3104,0,1
2,Payment,1706106111.939737,1000,0,1
1,NewOrder,1706106111.940748,4224,0,1
1,NewOrder,1706106111.944986,3717,0,1
2,Payment,1706106111.948715,1813,0,1
1,NewOrder,1706106111.950539,2073,0,1
2,Payment,1706106111.952624,948,0,1
1,NewOrder,1706106111.953582,3173,0,1
1,NewOrder,1706106111.956767,2458,0,1
1,NewOrder,1706106111.959235,2553,0,1
2,Payment,1706106111.961797,2365,0,1
2,Payment,1706106111.964174,889,0,1
1,NewOrder,1706106111.965073,3058,0,1
2,Payment,1706106111.968142,926,0,1
2,Payment,1706106111.969076,1745,0,1
1,NewOrder,1706106111.970830,1351,0,1
2,Payment,1706106111.972192,933,0,1
1,NewOrder,1706106111.973135,3581,0,1
2,Payment,1706106111.976729,1826,0,1
1,NewOrder,1706106111.978566,3206,0,1
2,Payment,1706106111.981783,931,0,1
1,NewOrder,1706106111.982725,3229,0,1
1,NewOrder,1706106111.985966,2974,0,1
2,Payment,1706106111.988951,1758,0,1
1,NewOrder,1706106111.990719,2845,0,1
2,Payment,1706106111.993577,1811,0,1
1,NewOrder,1706106111.995401,3409,0,1
1,NewOrder,1706106111.998825,2400,0,1
1,NewOrder,1706106112.001241,2968,0,1
2,Payment,1706106112.004219,1870,0,1
2,Payment,1706106112.006100,1704,0,1
2,Payment,1706106112.007813,895,0,1
1,NewOrder,1706106112.008716,2129,0,1
2,Payment,1706106112.010856,1772,0,1
2,Payment,1706106112.012638,1745,0,1
1,NewOrder,1706106112.014391,2754,0,1
1,NewOrder,1706106112.017153,2457,0,1
2,Payment,1706106112.019620,906,0,1
1,NewOrder,1706106112.020534,3600,0,1
1,NewOrder,1706106112.024148,3739,0,1
2,Payment,1706106112.027901,947,0,1
2,Payment,1706106112.028857,1734,0,1
1,NewOrder,1706106112.030600,3442,0,1
1,NewOrder,1706106112.034058,3194,0,1
5,StockLevel,1706106112.037267,994,0,1
1,NewOrder,1706106112.038271,2962,0,1
1,NewOrder,1706106112.041246,2859,0,1
1,NewOrder,1706106112.044119,2213,0,1
2,Payment,1706106112.046400,1925,0,1
2,Payment,1706106112.048341,895,0,1
2,Payment,1706106112.049246,1883,0,1
2,Payment,1706106112.051158,1751,0,1
2,Payment,1706106112.052921,882,0,1
2,Payment,1706106112.053811,1792,0,1
2,Payment,1706106112.055613,1796,0,1
1,NewOrder,1706106112.057421,2074,0,1
2,Payment,1706106112.059505,1705,0,1
2,Payment,1706106112.061219,1716,0,1
5,StockLevel,1706106112.062944,895,0,1
5,StockLevel,1706106112.063846,893,0,1
5,StockLevel,1706106112.064745,936,0,1
1,NewOrder,1706106112.065687,3872,0,1
2,Payment,1706106112.069571,1019,0,1
1,NewOrder,1706106112.070603,3273,0,1
2,Payment,1706106112.073889,984,0,1
2,Payment,1706106112.074881,847,0,1
2,Payment,1706106112.075736,1658,0,1
2,Payment,1706106112.077400,1151,0,1
2,Payment,1706106112.078559,824,0,1
1,NewOrder,1706106112.079391,1914,0,1
1,NewOrder,1706106112.081312,1830,0,1
2,Payment,1706106112.083150,833,0,1
1,NewOrder,1706106112.083990,2731,0,1
1,NewOrder,1706106112.086729,1843,0,1
5,StockLevel,1706106112.088579,716,0,1
2,Payment,1706106112.089302,875,0,1
1,NewOrder,1706106112.090185,2080,0,1
1,NewOrder,1706106112.092272,2578,0,1
1,NewOrder,1706106112.094857,2005,0,1
1,NewOrder,1706106112.096868,2393,0,1
2,Payment,1706106112.099268,894,0,1
1,NewOrder,1706106112.100170,2255,0,1
1,NewOrder,1706106112.102432,2478,0,1
1,NewOrder,1706106112.104918,3445,0,1
1,NewOrder,1706106112.108370,1929,0,1
1,NewOrder,1706106112.110305,2882,0,1
1,NewOrder,1706106112.113195,2120,0,1
1,NewOrder,1706106112.115322,3040,0,1
2,Payment,1706106112.118369,860,0,1
1,NewOrder,1706106112.119237,2856,0,1
1,NewOrder,1706106112.122100,2939,0,1
2,Payment,1706106112.125052,1751,0,1
1,NewOrder,1706106112.126817,2807,0,1
1,NewOrder,1706106112.129631,3194,0,1
1,NewOrder,1706106112.132832,2022,0,1
1,NewOrder,1706106112.134865,2861,0,1
2,Payment,1706106112.137743,1700,0,1
5,StockLevel,1706106112.139450,863,0,1
1,NewOrder,1706106112.140320,2960,0,1
1,NewOrder,1706106112.143286,1669,0,1
2,Payment,1706106112.144961,925,0,1
3,OrderStatus,1706106112.145893,1359,0,1
1,NewOrder,1706106112.147260,2999,0,1
2,Payment,1706106112.150266,1668,0,1
1,NewOrder,1706106112.151941,1854,0,1
1,NewOrder,1706106112.153802,3229,0,1
2,Payment,1706106112.157038,1099,0,1
2,Payment,1706106112.158144,1660,0,1
1,NewOrder,1706106112.159812,2744,0,1
1,NewOrder,1706106112.162563,2121,0,1
4,Delivery,1706106112.164691,5408,0,1
1,NewOrder,1706106112.170111,2723,0,1
1,NewOrder,1706106112.172846,2501,0,1
2,Payment,1706106112.175361,1791,0,1
1,NewOrder,1706106112.177177,3768,0,1
1,NewOrder,1706106112.180954,3244,0,1
1,NewOrder,1706106112.184207,3109,0,1
2,Payment,1706106112.187324,1777,0,1
2,Payment,1706106112.189108,1678,0,1
2,Payment,1706106112.190793,821,0,1
1,NewOrder,1706106112.191620,1954,0,1
4,Delivery,1706106112.193581,5251,0,1
2,Payment,1706106112.198839,910,0,1
1,NewOrder,1706106112.199756,4098,0,1
2,Payment,1706106112.203863,873,0,1
2,Payment,1706106112.204743,863,0,1
1,NewOrder,1706106112.205613,2146,0,1
4,Delivery,1706106112.207766,5408,0,1
2,Payment,1706106112.213185,1732,0,1
3,OrderStatus,1706106112.214926,1594,0,1
1,NewOrder,1706106112.216529,2579,0,1
2,Payment,1706106112.219118,1784,0,1
1,NewOrder,1706106112.220911,2431,0,1
2,Payment,1706106112.223351,879,0,1
2,Payment,1706106112.224238,1742,0,1
2,Payment,1706106112.225990,1784,0,1
2,Payment,1706106112.227784,1699,0,1
2,Payment,1706106112.229492,1685,0,1
2,Payment,1706106112.231186,1728,0,1
1,NewOrder,1706106112.232921,3302,0,1
2,Payment,1706106112.236237,913,0,1
1,NewOrder,1706106112.237158,2918,0,1
2,Payment,1706106112.240085,1920,0,1
2,Payment,1706106112.242016,1740,0,1
1,NewOrder,1706106112.243764,3760,0,1
2,Payment,1706106112.247535,866,0,1
2,Payment,1706106112.248409,1869,0,1
2,Payment,1706106112.250288,819,0,1
2,Payment,1706106112.251115,1663,0,1
1,NewOrder,1706106112.252785,3781,0,1
2,Payment,1706106112.256575,1750,0,1
3,OrderStatus,1706106112.258334,1239,0,1
1,NewOrder,1706106112.259580,2199,0,1
1,NewOrder,1706106112.261788,2764,0,1
1,NewOrder,1706106112.264560,3526,0,1
2,Payment,1706106112.268100,1678,0,1
2,Payment,1706106112.269785,1676,0,1
1,NewOrder,1706106112.271468,1956,0,1
2,Payment,1706106112.273430,1189,0,1
1,NewOrder,1706106112.274626,3009,0,1
4,Delivery,1706106112.277644,5325,0,1
1,NewOrder,1706106112.282976,3946,0,1
1,NewOrder,1706106112.286928,2175,0,1
2,Payment,1706106112.289110,827,0,1
2,Payment,1706106112.289944,791,0,1
2,Payment,1706106112.290741,1606,0,1
2,Payment,1706106112.292353,808,0,1
1,NewOrder,1706106112.293168,2929,0,1
1,NewOrder,1706106112.296103,2466,0,1
1,NewOrder,1706106112.298575,3211,0,1
2,Payment,1706106112.301793,1606,0,1
2,Payment,1706106112.303405,1689,0,1
3,OrderStatus,1706106112.305100,671,0,1
4,Delivery,1706106112.305778,4978,0,1
1,NewOrder,1706106112.310763,2864,0,1
3,OrderStatus,1706106112.313633,1282,0,1
1,NewOrder,1706106112.314934,1781,0,1
2,Payment,1706106112.316722,818,0,1
2,Payment,1706106112.317547,1643,0,1
1,NewOrder,1706106112.319196,2985,0,1
1,NewOrder,1706106112.322188,1571,0,1
1,NewOrder,1706106112.323765,2342,0,1
4,Delivery,1706106112.326113,4973,0,1
1,NewOrder,1706106112.331093,3209,0,1
3,OrderStatus,1706106112.334308,1193,0,1
5,StockLevel,1706106112.335508,941,0,1
5,StockLevel,1706106112.336454,571,0,1
1,NewOrder,1706106112.337030,2762,0,1
1,NewOrder,1706106112.339798,2646,0,1
1,NewOrder,1706106112.342450,1678,0,1
2,Payment,1706106112.344134,1782,0,1
1,NewOrder,1706106112.345923,2019,0,1
1,NewOrder,1706106112.347947,3602,0,1
2,Payment,1706106112.351555,841,0,1
2,Payment,1706106112.352402,828,0,1
1,NewOrder,1706106112.353236,2232,0,1
1,NewOrder,1706106112.355474,2143,0,1
1,NewOrder,1706106112.357623,2809,0,1
2,Payment,1706106112.360437,879,0,1
2,Payment,1706106112.361323,1633,0,1
4,Delivery,1706106112.362962,4919,0,1
4,Delivery,1706106112.367887,5118,0,1
2,Payment,1706106112.373011,1626,0,1
1,NewOrder,1706106112.374642,3190,0,1
2,Payment,1706106112.377839,1586,0,1
1,NewOrder,1706106112.379431,2568,0,1
2,Payment,1706106112.382006,870,0,1
1,NewOrder,1706106112.382883,2692,0,1
2,Payment,1706106112.385581,1657,0,1
5,StockLevel,1706106112.387245,763,0,1
