Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,219.600,2.565,0.657,2.015,2.496,2.968,3.341,3.574,4.494,16.019,0.390
5,241.400,2.447,0.683,1.948,2.380,2.845,3.196,3.374,3.699,22.381,0.409
10,233.800,2.520,0.721,2.041,2.444,2.901,3.271,3.484,3.761,46.874,0.397
15,233.000,2.486,0.691,1.998,2.435,2.926,3.338,3.538,3.835,5.293,0.402
20,224.800,2.520,0.620,2.005,2.426,2.935,3.314,3.531,3.788,48.324,0.397
25,233.600,2.489,0.657,1.996,2.455,2.935,3.300,3.529,3.837,4.489,0.402
30,250.000,2.473,0.728,1.951,2.376,2.813,3.268,3.500,3.897,47.710,0.404
35,317.000,2.139,0.675,1.746,2.067,2.460,2.728,2.801,3.160,48.029,0.468
40,282.400,2.223,0.834,1.798,2.217,2.572,2.823,3.004,3.238,10.970,0.450
45,307.800,2.099,0.708,1.747,2.070,2.460,2.696,2.759,2.972,3.703,0.476
50,308.800,2.132,0.650,1.737,2.087,2.452,2.700,2.746,3.144,46.843,0.469
55,311.600,2.045,0.635,1.717,2.033,2.402,2.636,2.707,2.792,3.723,0.489
