Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.400,5.337,4.763,5.038,5.182,5.376,5.664,6.253,11.805,11.805,0.187
5,23.800,4.338,3.470,3.676,4.001,5.046,5.621,5.900,6.038,6.071,0.231
10,28.200,3.752,3.472,3.583,3.668,3.792,4.141,4.402,4.665,5.054,0.267
15,30.800,3.898,3.456,3.564,3.734,4.274,4.348,4.410,4.509,4.600,0.257
20,31.000,3.813,3.405,3.560,3.660,3.939,4.352,4.398,5.232,5.314,0.262
25,27.400,3.644,3.419,3.553,3.624,3.689,3.806,3.870,4.239,4.879,0.274
30,35.800,3.632,3.397,3.533,3.608,3.682,3.743,3.860,4.417,4.992,0.275
35,22.600,4.015,3.411,3.592,4.279,4.361,4.401,4.441,4.519,4.604,0.249
40,30.200,3.643,3.420,3.534,3.607,3.694,3.789,3.893,4.669,4.957,0.274
45,26.800,3.734,3.455,3.581,3.629,3.715,4.079,4.570,5.017,5.839,0.268
50,27.400,3.650,3.456,3.577,3.611,3.688,3.834,3.891,4.153,4.182,0.274
55,27.000,3.682,3.476,3.602,3.659,3.708,3.820,3.924,4.272,4.591,0.272
