Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,421,421.000,290,1589,1983,2366,3038,3764,4781,6756,16273
1,519,519.000,226,1055,1683,1923,2504,3200,3753,5094,6423
2,512,512.000,204,1133,1742,1952,2613,3206,3621,4921,5725
3,491,491.000,224,1018,1759,2029,2655,3416,3779,5581,5749
4,534,534.000,163,953,1679,1869,2434,3120,3466,4865,5990
5,521,521.000,175,1006,1652,1916,2407,3075,3471,4902,48341
6,501,501.000,181,1486,1714,1995,2545,3265,4724,4921,5182
7,520,520.000,167,888,1722,1916,2460,3238,3891,5150,5809
8,495,495.000,178,1065,1705,2018,2587,3179,3685,5527,20096
9,514,514.000,157,1011,1655,1939,2606,3237,3730,4900,5799
10,522,522.000,158,977,1651,1915,2534,3247,4671,4960,5723
11,515,515.000,168,1433,1632,1936,2533,3171,3626,4912,5056
12,529,529.000,160,1425,1641,1894,2425,3038,3540,4941,5313
13,509,509.000,156,1403,1640,1956,2448,3028,3404,8966,14250
14,496,496.000,155,1337,1644,2014,2523,3275,3998,5120,47857
15,500,500.000,157,1494,1700,1999,2592,3257,4753,4997,5216
16,528,528.000,164,993,1652,1892,2426,3233,3745,5034,7107
17,546,546.000,147,990,1613,1830,2385,3063,3468,4942,6394
18,527,527.000,180,1027,1654,1894,2414,3058,3574,4990,5696
19,478,478.000,164,1494,1826,2089,2648,3524,4142,5835,6013
20,495,495.000,154,1482,1703,2017,2553,3431,4812,5639,5866
21,511,511.000,158,1019,1689,1957,2535,3304,3841,5116,5916
22,543,543.000,153,804,1637,1839,2433,3119,3585,5195,5733
23,498,498.000,156,1534,1757,2006,2581,3257,3787,5200,5271
24,482,482.000,153,1467,1718,2074,2601,3213,3725,5329,48461
25,490,490.000,170,1523,1757,2040,2692,3300,3750,5470,5857
26,521,521.000,168,1412,1662,1916,2428,3189,3622,5189,6001
27,527,527.000,160,1118,1629,1893,2431,3291,3694,5116,5405
28,506,506.000,158,1038,1634,1976,2641,3306,4900,5099,8742
29,528,528.000,142,1035,1669,1891,2557,3082,3640,5374,5962
30,509,509.000,156,943,1701,1969,2634,3264,3693,5462,5979
31,473,473.000,156,1420,1660,2112,2641,3359,5020,5508,47273
32,508,508.000,157,1097,1684,1961,2598,3238,3750,5179,5576
33,494,494.000,152,895,1700,2020,2573,3582,5089,5709,7036
34,624,624.000,154,752,934,1600,2274,3058,3578,5072,5581
35,721,721.000,145,745,841,1385,2029,2492,2711,3464,3638
36,672,672.000,138,746,1403,1486,2165,2691,3343,3482,3900
37,736,736.000,139,740,792,1359,1946,2536,2732,3443,3581
38,668,668.000,151,748,1426,1492,2213,2662,3319,3508,4106
39,664,664.000,151,746,888,1504,2156,2565,2767,3632,47339
40,701,701.000,141,748,850,1426,2078,2590,2767,3514,6098
41,704,704.000,151,749,889,1418,2046,2563,2767,3473,4222
42,672,672.000,151,749,1056,1487,2166,2692,3168,3651,4225
43,648,648.000,155,757,1420,1539,2226,2753,3304,4157,4486
44,678,678.000,145,746,1074,1473,2033,2556,2966,3545,12476
45,692,692.000,135,746,1411,1443,2036,2547,2887,3494,3921
46,659,659.000,151,751,904,1517,2183,2649,3354,3587,49103
47,703,703.000,146,751,901,1421,2154,2566,2740,3503,4031
48,667,667.000,153,753,1446,1498,2195,2598,2816,3526,4188
49,696,696.000,147,743,971,1434,2160,2578,2770,3461,3563
50,709,709.000,142,741,859,1407,2049,2560,2740,3453,5301
51,700,700.000,153,749,921,1427,2054,2579,2766,3481,3680
52,650,650.000,154,757,1456,1536,2216,2733,3429,3529,3595
53,660,660.000,148,757,932,1514,2175,2605,2778,3571,48670
54,656,656.000,161,766,1464,1521,2218,2698,3492,3642,3908
55,693,693.000,151,743,931,1442,2171,2553,2751,3468,4954
56,702,702.000,144,742,1408,1423,2032,2547,2715,3473,3903
57,695,695.000,145,743,1297,1435,2049,2583,2731,3479,3703
58,681,681.000,151,751,978,1467,2211,2617,2796,3528,4426
59,705,705.000,142,741,816,1414,2162,2529,2744,3484,14824
