Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,21.800,0.751,0.163,0.269,0.956,1.053,1.197,1.363,1.886,3.056,1.331
5,23.000,0.687,0.157,0.203,0.969,1.035,1.097,1.111,1.173,1.304,1.456
10,19.200,0.658,0.155,0.176,0.939,1.005,1.026,1.055,1.108,1.108,1.521
15,17.600,0.705,0.147,0.183,0.937,1.014,1.061,1.087,1.162,1.162,1.419
20,19.000,0.568,0.153,0.169,0.243,1.014,1.050,1.077,1.134,1.134,1.762
25,21.400,0.695,0.142,0.185,0.967,1.023,1.055,1.077,1.173,1.299,1.438
30,24.400,0.499,0.152,0.167,0.198,0.999,1.069,1.098,1.125,1.170,2.004
35,25.600,0.176,0.138,0.160,0.171,0.185,0.204,0.219,0.274,0.329,5.672
40,26.800,0.184,0.141,0.162,0.175,0.191,0.217,0.242,0.337,0.528,5.447
45,30.000,0.178,0.135,0.162,0.174,0.186,0.202,0.213,0.300,0.303,5.618
50,26.400,0.194,0.142,0.162,0.171,0.187,0.206,0.214,0.298,2.423,5.144
55,29.400,0.176,0.142,0.159,0.168,0.180,0.195,0.224,0.352,0.358,5.692
