Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,5.390,4.548,4.805,5.042,5.546,6.294,6.604,16.273,16.273,0.186
5,21.400,5.061,4.659,4.776,4.848,5.021,5.215,5.439,5.809,20.096,0.198
10,21.200,4.887,4.639,4.789,4.847,4.941,5.056,5.156,5.646,5.732,0.205
15,20.000,5.029,4.698,4.838,4.909,5.033,5.707,5.846,7.107,7.107,0.199
20,21.400,5.114,4.801,4.912,5.000,5.226,5.635,5.742,5.866,5.916,0.196
25,19.800,5.158,4.809,4.975,5.044,5.277,5.473,5.699,6.938,6.938,0.194
30,25.800,5.103,3.265,5.008,5.159,5.405,5.581,5.665,5.979,6.587,0.196
35,29.800,3.441,3.282,3.375,3.424,3.469,3.534,3.632,4.106,4.122,0.291
40,27.400,3.529,3.280,3.400,3.438,3.501,3.847,4.221,4.279,6.098,0.283
45,29.000,3.783,3.261,3.407,3.456,3.511,3.582,3.606,4.188,49.103,0.264
50,29.800,3.816,3.310,3.432,3.486,3.571,3.632,3.680,4.264,48.670,0.262
55,25.800,3.472,3.286,3.399,3.447,3.493,3.581,3.660,4.039,4.357,0.288
