Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,232.400,2.609,0.907,2.102,2.535,3.044,3.484,3.720,4.321,12.348,0.383
5,233.000,2.520,0.687,2.001,2.419,2.905,3.268,3.494,3.769,48.341,0.397
10,234.200,2.506,0.726,1.968,2.383,2.839,3.255,3.495,3.999,47.857,0.399
15,236.600,2.502,0.776,2.028,2.435,2.916,3.327,3.590,4.033,6.394,0.400
20,230.400,2.549,0.732,2.037,2.461,2.960,3.368,3.562,3.841,48.461,0.392
25,232.600,2.504,0.748,2.016,2.454,2.942,3.362,3.580,3.869,4.026,0.399
30,232.600,2.526,0.753,2.025,2.434,2.932,3.347,3.578,3.915,47.273,0.396
35,305.400,2.084,0.767,1.713,2.031,2.414,2.637,2.712,2.813,47.339,0.480
40,305.400,2.106,0.701,1.728,2.052,2.441,2.705,2.770,3.144,8.026,0.475
45,311.600,2.066,0.616,1.722,2.041,2.420,2.644,2.732,2.894,4.738,0.484
50,305.000,2.085,0.640,1.745,2.056,2.447,2.668,2.763,2.840,5.301,0.480
55,313.000,2.088,0.653,1.724,2.055,2.431,2.674,2.723,2.884,14.824,0.479
