Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,413,413.000,379,1571,2089,2411,3019,3887,5217,7384,12786
1,513,513.000,208,946,1701,1944,2535,3272,3792,5276,7329
2,530,530.000,187,1379,1646,1882,2421,3153,3541,4919,5106
3,556,556.000,197,839,1604,1797,2413,3021,3363,4990,5217
4,516,516.000,184,1069,1603,1935,2404,3169,4692,5080,16019
5,533,533.000,176,882,1625,1873,2374,2934,3280,4915,45633
6,549,549.000,175,893,1590,1824,2395,3020,3298,4977,5292
7,548,548.000,165,885,1619,1814,2411,2997,3323,5045,5461
8,528,528.000,174,1378,1666,1892,2431,3057,3517,5085,5805
9,474,474.000,162,1432,1696,2106,2568,3366,4728,9599,22893
10,501,501.000,189,1027,1796,1991,2591,3240,3562,5602,5780
11,545,545.000,159,951,1592,1832,2284,3219,3697,4962,7424
12,540,540.000,168,1048,1599,1852,2468,3105,3457,4905,5271
13,510,510.000,154,1371,1697,1957,2540,3271,3761,5426,5646
14,500,500.000,154,1392,1629,2000,2533,3155,3729,4981,46874
15,532,532.000,158,940,1642,1880,2510,3112,3776,5122,5608
16,493,493.000,175,953,1696,2020,2668,3377,3825,5645,6870
17,549,549.000,157,912,1614,1821,2316,3077,3535,5057,5234
18,528,528.000,158,996,1594,1890,2530,3176,3619,5051,5161
19,524,524.000,155,1441,1701,1908,2440,3121,3539,5109,5292
20,516,516.000,168,994,1670,1936,2487,3304,3788,5364,6029
21,515,515.000,156,1396,1666,1939,2564,3236,3675,5136,7598
22,550,550.000,154,885,1626,1815,2327,3149,3590,5036,5198
23,550,550.000,147,836,1630,1818,2324,3187,3592,5024,5164
24,484,484.000,161,1426,1673,2064,2617,3213,3888,5248,48324
25,504,504.000,149,1491,1712,1980,2511,3323,3837,5074,5350
26,511,511.000,157,1389,1643,1956,2552,3292,3715,5082,6030
27,524,524.000,160,1007,1651,1907,2539,3166,3628,5142,5535
28,523,523.000,159,1010,1623,1911,2607,3219,3708,5176,5540
29,524,524.000,153,984,1631,1904,2521,3224,3723,5145,5693
30,495,495.000,156,1023,1688,2018,2631,3379,3990,5727,11861
31,492,492.000,171,1516,1727,2030,2632,3230,3639,5684,6358
32,500,500.000,150,1022,1605,2003,2598,3218,3537,5177,47710
33,578,578.000,150,747,1646,1724,2413,3139,3538,5133,7739
34,661,661.000,155,759,1443,1510,2234,2671,3484,3821,4332
35,686,686.000,148,757,1428,1455,2127,2638,2845,3471,4147
36,691,691.000,153,755,1439,1446,2173,2556,2740,3424,3583
37,667,667.000,155,758,1462,1497,2213,2627,2785,3464,3740
38,668,668.000,150,757,1462,1494,2103,2617,2813,3528,4071
39,588,588.000,151,834,1552,1703,2348,2933,3202,4280,48029
40,589,589.000,199,844,929,1689,2358,2993,4192,5336,10970
41,618,618.000,161,842,979,1619,2391,2980,3228,4556,4636
42,637,637.000,149,783,1457,1564,2239,2749,3353,4201,4335
43,687,687.000,145,762,948,1454,2186,2590,2760,3514,3743
44,681,681.000,151,757,934,1465,2198,2700,3378,3497,3760
45,667,667.000,152,779,1028,1497,2186,2750,3171,3616,4135
46,667,667.000,148,762,866,1496,2050,2580,2782,3550,49719
47,665,665.000,153,764,1443,1505,2219,2602,2855,3523,4069
48,682,682.000,150,759,1340,1463,2197,2588,2746,3504,3674
49,686,686.000,147,756,929,1454,2160,2578,2759,3482,4242
50,649,649.000,147,780,1069,1540,2276,2731,3144,4201,4351
51,704,704.000,145,758,918,1417,2161,2550,2709,3502,3975
52,697,697.000,150,754,917,1434,2081,2588,2774,3499,4821
53,664,664.000,148,757,882,1502,2141,2561,2735,3542,46843
54,664,664.000,152,762,1450,1503,2192,2627,2795,3557,3613
55,725,725.000,133,756,818,1377,2021,2555,2724,3536,3700
56,722,722.000,147,753,812,1385,2025,2528,2713,3458,4145
57,680,680.000,149,758,1417,1466,2186,2636,2902,3505,3682
58,712,712.000,162,724,944,1403,2039,2498,2694,3493,3574
59,662,662.000,159,758,1407,1505,2202,2706,3434,3564,4091
