Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1706106654.459323,12348,0,1
2,Payment,1706106654.471776,3383,0,1
1,NewOrder,1706106654.475171,5464,0,1
2,Payment,1706106654.480655,2153,0,1
1,NewOrder,1706106654.482822,4951,0,1
2,Payment,1706106654.487799,3724,0,1
1,NewOrder,1706106654.491549,3206,0,1
1,NewOrder,1706106654.494766,5116,0,1
1,NewOrder,1706106654.499894,4321,0,1
1,NewOrder,1706106654.504227,2635,0,1
3,OrderStatus,1706106654.506873,3056,0,1
2,Payment,1706106654.509942,2052,0,1
4,Delivery,1706106654.512010,16273,0,1
2,Payment,1706106654.528300,3751,0,1
5,StockLevel,1706106654.532067,2425,0,1
2,Payment,1706106654.534507,1843,0,1
2,Payment,1706106654.536364,3209,0,1
2,Payment,1706106654.539586,1778,0,1
2,Payment,1706106654.541384,3505,0,1
2,Payment,1706106654.544903,3077,0,1
1,NewOrder,1706106654.547993,3200,0,1
3,OrderStatus,1706106654.551206,1165,0,1
1,NewOrder,1706106654.552387,5201,0,1
2,Payment,1706106654.557603,3061,0,1
2,Payment,1706106654.560679,1411,0,1
5,StockLevel,1706106654.562117,1122,0,1
2,Payment,1706106654.563248,2270,0,1
1,NewOrder,1706106654.565528,3007,0,1
2,Payment,1706106654.568544,9931,0,1
1,NewOrder,1706106654.578507,3574,0,1
1,NewOrder,1706106654.582098,3743,0,1
1,NewOrder,1706106654.585858,3413,0,1
2,Payment,1706106654.589289,1493,0,1
1,NewOrder,1706106654.590797,2019,0,1
1,NewOrder,1706106654.592827,3358,0,1
1,NewOrder,1706106654.596202,2535,0,1
1,NewOrder,1706106654.598752,4781,0,1
4,Delivery,1706106654.603551,6516,0,1
2,Payment,1706106654.610083,2125,0,1
1,NewOrder,1706106654.612222,3578,0,1
1,NewOrder,1706106654.615814,4243,0,1
1,NewOrder,1706106654.620070,3445,0,1
2,Payment,1706106654.623528,3527,0,1
2,Payment,1706106654.627073,1965,0,1
1,NewOrder,1706106654.629053,4111,0,1
2,Payment,1706106654.633180,1163,0,1
2,Payment,1706106654.634357,1780,0,1
2,Payment,1706106654.636146,1014,0,1
1,NewOrder,1706106654.637169,3282,0,1
1,NewOrder,1706106654.640467,3334,0,1
2,Payment,1706106654.643818,1168,0,1
1,NewOrder,1706106654.645001,3153,0,1
2,Payment,1706106654.648173,1163,0,1
1,NewOrder,1706106654.649349,4287,0,1
1,NewOrder,1706106654.653653,2731,0,1
2,Payment,1706106654.656398,1046,0,1
2,Payment,1706106654.657455,1990,0,1
2,Payment,1706106654.659458,2054,0,1
1,NewOrder,1706106654.661523,3055,0,1
2,Payment,1706106654.664590,1893,0,1
2,Payment,1706106654.666495,1154,0,1
1,NewOrder,1706106654.667663,3009,0,1
2,Payment,1706106654.670687,2379,0,1
3,OrderStatus,1706106654.673081,1886,0,1
2,Payment,1706106654.674984,1215,0,1
1,NewOrder,1706106654.676209,3059,0,1
1,NewOrder,1706106654.679280,3794,0,1
5,StockLevel,1706106654.683086,1001,0,1
1,NewOrder,1706106654.684099,2657,0,1
2,Payment,1706106654.686767,2117,0,1
1,NewOrder,1706106654.688894,3749,0,1
1,NewOrder,1706106654.692659,2309,0,1
1,NewOrder,1706106654.694984,4839,0,1
2,Payment,1706106654.699847,2735,0,1
1,NewOrder,1706106654.702602,3729,0,1
2,Payment,1706106654.706351,1168,0,1
4,Delivery,1706106654.707535,6893,0,1
2,Payment,1706106654.714449,2541,0,1
1,NewOrder,1706106654.717010,4952,0,1
2,Payment,1706106654.721982,1177,0,1
2,Payment,1706106654.723173,1915,0,1
2,Payment,1706106654.725103,1994,0,1
2,Payment,1706106654.727114,2156,0,1
1,NewOrder,1706106654.729287,2970,0,1
2,Payment,1706106654.732275,2507,0,1
1,NewOrder,1706106654.734801,4226,0,1
2,Payment,1706106654.739050,2181,0,1
1,NewOrder,1706106654.741249,3227,0,1
1,NewOrder,1706106654.744491,2676,0,1
2,Payment,1706106654.747177,1971,0,1
1,NewOrder,1706106654.749157,4846,0,1
2,Payment,1706106654.754022,1177,0,1
1,NewOrder,1706106654.755210,2229,0,1
2,Payment,1706106654.757448,1161,0,1
2,Payment,1706106654.758617,1814,0,1
2,Payment,1706106654.760442,1851,0,1
