Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1706454331.052666,3001,0,1
1,NewOrder,1706454331.055682,3693,0,1
2,Payment,1706454331.059391,1918,0,1
2,Payment,1706454331.061325,1006,0,1
2,Payment,1706454331.062340,1804,0,1
4,Delivery,1706454331.064154,6864,0,1
1,NewOrder,1706454331.071035,3915,0,1
2,Payment,1706454331.074970,2141,0,1
2,Payment,1706454331.077126,1233,0,1
2,Payment,1706454331.078373,1884,0,1
5,StockLevel,1706454331.080272,1273,0,1
2,Payment,1706454331.081565,1933,0,1
2,Payment,1706454331.083511,1842,0,1
1,NewOrder,1706454331.085363,2717,0,1
1,NewOrder,1706454331.088089,3297,0,1
2,Payment,1706454331.091395,1858,0,1
2,Payment,1706454331.093263,999,0,1
1,NewOrder,1706454331.094271,2787,0,1
1,NewOrder,1706454331.097067,4484,0,1
2,Payment,1706454331.101560,980,0,1
1,NewOrder,1706454331.102549,3707,0,1
1,NewOrder,1706454331.106265,2163,0,1
2,Payment,1706454331.108438,1847,0,1
2,Payment,1706454331.110295,1896,0,1
1,NewOrder,1706454331.112201,3434,0,1
1,NewOrder,1706454331.115650,2305,0,1
1,NewOrder,1706454331.117971,3196,0,1
2,Payment,1706454331.121184,1080,0,1
1,NewOrder,1706454331.122279,4036,0,1
2,Payment,1706454331.126324,1927,0,1
2,Payment,1706454331.128263,1870,0,1
1,NewOrder,1706454331.130143,3021,0,1
1,NewOrder,1706454331.133175,2313,0,1
2,Payment,1706454331.135498,1905,0,1
1,NewOrder,1706454331.137414,2580,0,1
2,Payment,1706454331.140005,1211,0,1
1,NewOrder,1706454331.141226,2372,0,1
4,Delivery,1706454331.143606,5664,0,1
2,Payment,1706454331.149284,1709,0,1
2,Payment,1706454331.151005,1679,0,1
2,Payment,1706454331.152694,1890,0,1
2,Payment,1706454331.154594,1726,0,1
1,NewOrder,1706454331.156332,2268,0,1
2,Payment,1706454331.158618,1079,0,1
1,NewOrder,1706454331.159710,4567,0,1
1,NewOrder,1706454331.164294,2893,0,1
2,Payment,1706454331.167202,1838,0,1
1,NewOrder,1706454331.169051,3308,0,1
1,NewOrder,1706454331.172372,3574,0,1
1,NewOrder,1706454331.175991,1925,0,1
2,Payment,1706454331.177929,1021,0,1
2,Payment,1706454331.178960,967,0,1
2,Payment,1706454331.179938,967,0,1
1,NewOrder,1706454331.180915,3235,0,1
2,Payment,1706454331.184162,1001,0,1
2,Payment,1706454331.185175,1822,0,1
1,NewOrder,1706454331.187007,2539,0,1
1,NewOrder,1706454331.189557,3617,0,1
2,Payment,1706454331.193185,1852,0,1
3,OrderStatus,1706454331.195049,681,0,1
1,NewOrder,1706454331.195741,1864,0,1
1,NewOrder,1706454331.197616,2241,0,1
2,Payment,1706454331.199870,941,0,1
1,NewOrder,1706454331.200823,2474,0,1
1,NewOrder,1706454331.203308,2749,0,1
1,NewOrder,1706454331.206070,2949,0,1
2,Payment,1706454331.209029,892,0,1
2,Payment,1706454331.209928,1639,0,1
2,Payment,1706454331.211575,1631,0,1
2,Payment,1706454331.213213,1639,0,1
2,Payment,1706454331.214860,1647,0,1
2,Payment,1706454331.216515,1525,0,1
5,StockLevel,1706454331.218050,1286,0,1
5,StockLevel,1706454331.219345,1045,0,1
2,Payment,1706454331.220403,958,0,1
1,NewOrder,1706454331.221372,2674,0,1
2,Payment,1706454331.224056,1082,0,1
2,Payment,1706454331.225149,1771,0,1
2,Payment,1706454331.226931,1737,0,1
2,Payment,1706454331.228678,833,0,1
1,NewOrder,1706454331.229519,2896,0,1
1,NewOrder,1706454331.232425,2182,0,1
1,NewOrder,1706454331.234618,3288,0,1
2,Payment,1706454331.237917,1826,0,1
3,OrderStatus,1706454331.239753,1321,0,1
5,StockLevel,1706454331.241083,1065,0,1
2,Payment,1706454331.242157,1896,0,1
2,Payment,1706454331.244064,851,0,1
2,Payment,1706454331.244925,1799,0,1
1,NewOrder,1706454331.246737,1925,0,1
2,Payment,1706454331.248673,1633,0,1
1,NewOrder,1706454331.250322,4450,0,1
1,NewOrder,1706454331.254800,3905,0,1
4,Delivery,1706454331.258722,6801,0,1
2,Payment,1706454331.265540,1898,0,1
2,Payment,1706454331.267460,968,0,1
2,Payment,1706454331.268450,934,0,1
1,NewOrder,1706454331.269393,2042,0,1
1,NewOrder,1706454331.271450,4225,0,1
2,Payment,1706454331.275690,1821,0,1
1,NewOrder,1706454331.277524,2370,0,1
3,OrderStatus,1706454331.279909,1482,0,1
1,NewOrder,1706454331.281405,2682,0,1
2,Payment,1706454331.284102,2261,0,1
1,NewOrder,1706454331.286378,4665,0,1
2,Payment,1706454331.291059,2046,0,1
1,NewOrder,1706454331.293119,3468,0,1
1,NewOrder,1706454331.296602,2237,0,1
1,NewOrder,1706454331.298847,3891,0,1
1,NewOrder,1706454331.302746,2516,0,1
1,NewOrder,1706454331.305270,2586,0,1
4,Delivery,1706454331.307868,5540,0,1
2,Payment,1706454331.313421,892,0,1
2,Payment,1706454331.314328,1662,0,1
1,NewOrder,1706454331.316010,3156,0,1
2,Payment,1706454331.319174,810,0,1
4,Delivery,1706454331.319991,5551,0,1
2,Payment,1706454331.325559,864,0,1
2,Payment,1706454331.326435,1677,0,1
1,NewOrder,1706454331.328120,2332,0,1
1,NewOrder,1706454331.330460,2139,0,1
1,NewOrder,1706454331.332606,2019,0,1
1,NewOrder,1706454331.334632,1985,0,1
1,NewOrder,1706454331.336623,3503,0,1
1,NewOrder,1706454331.340133,2763,0,1
1,NewOrder,1706454331.342902,3531,0,1
1,NewOrder,1706454331.346439,2214,0,1
5,StockLevel,1706454331.348659,812,0,1
2,Payment,1706454331.349476,968,0,1
1,NewOrder,1706454331.350453,3018,0,1
2,Payment,1706454331.353478,1657,0,1
1,NewOrder,1706454331.355141,2533,0,1
1,NewOrder,1706454331.357681,1794,0,1
4,Delivery,1706454331.359482,5376,0,1
2,Payment,1706454331.364867,907,0,1
