Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,19.600,0.764,0.184,0.253,0.940,1.074,1.239,1.462,2.821,2.821,1.310
5,19.600,0.704,0.162,0.193,0.954,1.024,1.088,1.184,1.239,1.239,1.420
10,18.600,0.697,0.154,0.201,0.940,1.002,1.052,1.096,1.181,1.181,1.435
15,21.800,0.687,0.155,0.182,0.919,0.994,1.027,1.054,1.081,1.095,1.455
20,25.600,0.653,0.147,0.171,0.905,1.008,1.048,1.063,1.420,1.679,1.531
25,24.200,0.739,0.149,0.177,0.964,1.015,1.054,1.088,1.258,1.475,1.353
30,20.200,0.495,0.150,0.169,0.192,0.988,1.032,1.063,1.112,1.115,2.019
35,24.800,0.182,0.148,0.163,0.173,0.185,0.228,0.240,0.287,0.390,5.509
40,26.200,0.194,0.145,0.165,0.186,0.217,0.246,0.254,0.319,0.371,5.165
45,26.200,0.180,0.147,0.164,0.174,0.191,0.205,0.215,0.282,0.334,5.569
50,25.800,0.180,0.145,0.162,0.173,0.186,0.212,0.227,0.297,0.304,5.563
55,24.600,0.175,0.133,0.162,0.172,0.185,0.198,0.212,0.229,0.256,5.711
