Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,491.200,2.031,0.186,1.488,1.734,2.578,3.319,4.058,5.535,11.805,0.492
5,607.200,1.643,0.172,0.755,1.557,2.307,2.857,3.524,5.178,24.657,0.609
10,676.000,1.477,0.157,0.735,0.950,2.228,2.705,2.940,3.821,5.054,0.677
15,649.200,1.538,0.150,0.763,1.016,2.226,2.799,3.228,4.293,6.238,0.650
20,656.400,1.522,0.151,0.739,1.295,2.222,2.734,3.238,4.262,5.314,0.657
25,691.000,1.445,0.145,0.726,0.947,2.129,2.667,2.887,3.693,5.678,0.692
30,663.200,1.506,0.147,0.724,1.435,2.197,2.728,3.492,3.706,12.489,0.664
35,644.200,1.550,0.152,0.790,1.049,2.250,2.849,3.198,4.353,5.259,0.645
40,682.600,1.463,0.152,0.722,0.980,2.091,2.700,3.303,3.748,10.302,0.683
45,670.000,1.491,0.153,0.726,1.109,2.216,2.665,3.071,3.737,5.839,0.671
50,688.400,1.451,0.149,0.722,1.000,2.172,2.636,2.887,3.698,4.471,0.689
55,683.200,1.462,0.154,0.725,1.371,2.089,2.622,2.836,3.708,4.591,0.684
